year;area_Poopo
1989;641560200.0
1990;619981200.0
1991;585868740.0
1992;432707528.5714286
1993;255169028.57142857
1994;99755100.0
1995;68755140.0
1996;69571350.0
1997;305752050.0
1998;156671550.0
1999;296023950.0
2000;180911250.0
2001;522904050.0
2002;399149700.0
2003;259971637.5
2004;255053700.0
2005;216160110.0
2006;268661250.0
2007;220534425.0
2008;187448785.7142857
2009;123012900.0
2010;108484500.0
2011;238193550.0
2013;285718200.0
2014;204485236.36363637
2015;156190320.0
2016;20530227.272727273
2017;62114400.0
2018;220003650.0
2019;210351487.5
