year;area_Titicaca
1989;654151100.0
1990;773627925.0
1991;605225423.0769231
1992;658674450.0
1993;539977980.0
1994;690728906.25
1995;555414120.0
1996;512590320.0
1997;670683840.0
1998;616400145.0
1999;570523380.0
2000;510749030.7692308
2001;650503181.25
2002;649331100.0
2003;772868423.0769231
2004;780448106.25
2005;768414960.0
2006;762370818.75
2007;786508312.5
2008;799198000.0
2009;768338947.0588236
2010;811687380.0
2011;841403025.0
2013;287702935.71428573
2014;318536311.7647059
2015;440181225.0
2016;382277539.28571427
2017;249685708.6956522
2018;389040617.64705884
2019;274449870.0
