year;precipitation
1989;16.534616626545247
1990;22.982828404474816
1991;18.457871739558666
1992;20.7402069949472
1993;27.31910700990773
1994;20.467226348432938
1995;15.737209733908765
1996;20.758716373356922
1997;33.212163130322004
1998;15.252421763227892
1999;28.167369614154325
2000;25.0982041441107
2001;35.465069465558095
2002;23.31586570796431
2003;19.038834859877742
2004;18.957792110930797
2005;28.1186853730327
2006;26.792222805726766
2007;21.970308941527136
2008;19.879426572972505
2009;22.92627562648865
2010;21.156721423961677
2011;30.776422116840422
2012;32.198045391388966
2013;29.073404871868103
2014;21.634527960177792
2015;24.460690220068965
2016;21.049834359292266
2017;32.13296456284761
2018;39.43138787214318
