YEAR;PREC_APRIL;PREC_JULY;ET_APRIL;ET_JULY
1989-04-01;41.7;NA;56.6;NA
1989-07-01;NA;0;NA;68.5
1995-04-01;0;NA;95.93333;NA
1995-07-01;NA;0;NA;65.33
1999-04-01;39.1;NA;88.8;NA
1999-07-01;NA;1.15;NA;62.25
2005-04-01;13.4;NA;97.2;NA
2005-07-01;NA;0;NA;76.55
2009-04-01;13.36666667;NA;86.5333;NA
2009-07-01;NA;0;NA;71.1
2013-04-01;2.3;NA;93.35;NA
2013-07-01;NA;11.63333333;NA;70.6
2014-04-01;11.93333333;NA;92.63333;NA
2014-07-01;NA;7.666666667;NA;70.1
2015-04-01;43.9;NA;86.95;NA
2015-07-01;NA;4.733333333;NA;69.93
2016-04-01;33.6;NA;93.2666;NA
2016-07-01;NA;3;NA;71.57
2017-04-01;16;NA;98.9;NA
2017-07-01;NA;0;NA;79.4
2018-04-01;NA;NA;NA;NA
2018-07-01;NA;NA;NA;NA
